# Server version 0.08 running on web099029.wireless.mcgill.ca:8123
# Game ID: 333
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Sun Apr 03 16:20:49 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260568170', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260568170
PIT 0 10
PIT 1 23
PIT 0 0
PIT 1 22
PIT 0 16
PIT 1 21
PIT 0 14
PIT 1 23
PIT 0 23
PIT 1 26
PIT 0 15
PIT 1 22
PIT 0 1
PIT 1 18
PIT 0 24
PIT 1 29
PIT 0 25
PIT 1 28
PIT 0 3
PIT 1 19
PIT 0 8
PIT 1 29
PIT 0 6
PIT 1 26
PIT 0 9
PIT 1 23
PIT 0 10
PIT 1 16
GAMEOVER WINNER 1
# Game ended: Sun Apr 03 16:20:52 EDT 2016
