# Server version 0.08 running on 142.157.219.142:8123
# Game ID: 125
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Sat Apr 02 23:02:54 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260568170', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260568170
PIT 0 0
PIT 1 1
PIT 0 19
PIT 1 16
PIT 0 12
PIT 1 24
PIT 0 1
PIT 1 25
PIT 0 25
PIT 1 2
PIT 0 6
PIT 1 23
PIT 0 8
PIT 1 24
PIT 0 9
PIT 1 21
PIT 0 12
PIT 1 23
PIT 0 13
PIT 1 24
PIT 0 7
PIT 1 22
PIT 0 14
PIT 1 20
PIT 0 11
PIT 1 19
GAMEOVER WINNER 1
# Game ended: Sat Apr 02 23:02:56 EDT 2016
