# Server version 0.08 running on wpa152248.wireless.mcgill.ca:8123
# Game ID: 22
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Tue Mar 29 17:03:57 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260568170', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260568170
PIT 0 8
PIT 1 23
PIT 0 7
PIT 1 22
PIT 0 0
PIT 1 1
PIT 0 18
PIT 1 19
PIT 0 3
PIT 1 17
PIT 0 14
PIT 1 24
PIT 0 15
PIT 1 23
PIT 0 1
PIT 1 21
PIT 0 24
PIT 1 24
PIT 0 16
PIT 1 17
GAMEOVER WINNER 1
# Game ended: Tue Mar 29 17:04:00 EDT 2016
